"","score","text"
"1",0,"RT @DrGPradhan: Wrong Ques Sir, @bdutt bibi is not a Journo, she is a Supari Celeb who was just doing her Paid job. Trump hit her career an…"
"2",0,"RT @Archu243: What Surgery could not accomplish, Modi did it with #DeMonetisation Surgical strike! Sirji ki zubaan finally choti ho gayi<ed><U+00A0><U+00BD><ed><U+00B1><U+0085> h…"
"3",-1,"RT @RenukaJain6: Bollywood welcomes the Surgical Strike of Modi Government against Black Money.

#IndiaFightsCorruption https://t.co/8q77Wh…"
"4",0,"RT @HasnaZarooriHai: Katrina Kaif ko to Modi ke is decision ke baare mein 2012 mein hi pata tha 
Tabhi to ......... https://t.co/52oj9XLDid"
"5",-1,"@Chinmayi If Modi &amp; Sachin can be called Servant of this country I think nothing wrong in using that word."
"6",2,"@AdityaRajKaul @narendramodi @realDonaldTrump  Modi to Trump ""Acche Din Agaye"" / ""Good Days are here""... Trump Congrats !!!"
"7",1,"Modi loving it"
"8",1,"RT @jitenderkhalsa: After Reliance Jio Sim , Modi ji is now proud Brand Ambassador of Paytm https://t.co/GYgMYvkiyk"
"9",0,"Wrongdoers will find back doors, no matter what. Whether it is tax, or notes, Modi is leaving no stone unturned in harassing common people."
"10",-2,"RT @avarakai: Sad for Burkha, moved to US after Modi, and got Trumped. Bad luck so bad, if she moves to Vatican, Praveen Togadia will becom…"
"11",1,"RT @spot_boyy: I was not happy when Modi had become our PM, but he and team is doing many things for betterment of country.

Hoping same fo…"
"12",0,"Only fools will believe it
For eg #Arnab a few months ago was fiercely attacking #Bjp &amp; #Modi Govt until paid

@timesofindia @HillaryClinton"
"13",0,"RT @Archu243: What Surgery could not accomplish, Modi did it with #DeMonetisation Surgical strike! Sirji ki zubaan finally choti ho gayi<ed><U+00A0><U+00BD><ed><U+00B1><U+0085> h…"
