"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2016-11-09",0,FALSE,"796394799469248512",TRUE,NA,NA,NA,NA,NA,11,FALSE,"imalok30","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrGPradhan: Wrong Ques Sir, @bdutt bibi is not a Journo, she is a Supari Celeb who was just doing her Paid job. Trump hit her career an…",FALSE
"2016-11-09",0,FALSE,"796394799351799808",TRUE,NA,NA,NA,NA,NA,29,FALSE,"itsmeAdii1221","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Archu243: What Surgery could not accomplish, Modi did it with #DeMonetisation Surgical strike! Sirji ki zubaan finally choti ho gayi<ed><U+00A0><U+00BD><ed><U+00B1><U+0085> h…",FALSE
"2016-11-09",0,FALSE,"796394798299185152",TRUE,NA,NA,NA,NA,NA,6,FALSE,"pappu_pedia","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @RenukaJain6: Bollywood welcomes the Surgical Strike of Modi Government against Black Money.

#IndiaFightsCorruption https://t.co/8q77Wh…",FALSE
"2016-11-09",0,FALSE,"796394796311048192",TRUE,NA,NA,NA,NA,NA,44,FALSE,"akshay21788","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @HasnaZarooriHai: Katrina Kaif ko to Modi ke is decision ke baare mein 2012 mein hi pata tha 
Tabhi to ......... https://t.co/52oj9XLDid",FALSE
"2016-11-09",0,FALSE,"796394794360578048",FALSE,NA,NA,"796393948985995264","Chinmayi","8443752",0,FALSE,"Kingsleyrules6","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Chinmayi If Modi &amp; Sachin can be called Servant of this country I think nothing wrong in using that word.",FALSE
"2016-11-09",0,FALSE,"796394791969832960",FALSE,NA,NA,"796393803326205952","AdityaRajKaul","44425241",0,FALSE,"Mahmoodbhaijan","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@AdityaRajKaul @narendramodi @realDonaldTrump  Modi to Trump ""Acche Din Agaye"" / ""Good Days are here""... Trump Congrats !!!",FALSE
"2016-11-09",0,FALSE,"796394789843267584",FALSE,NA,NA,NA,NA,NA,0,FALSE,"crypticzainab","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Modi loving it",FALSE
"2016-11-09",0,FALSE,"796394786022297600",TRUE,NA,NA,NA,NA,NA,283,FALSE,"shashi4aap","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jitenderkhalsa: After Reliance Jio Sim , Modi ji is now proud Brand Ambassador of Paytm https://t.co/GYgMYvkiyk",FALSE
"2016-11-09",0,FALSE,"796394783757377536",FALSE,NA,NA,NA,NA,NA,0,FALSE,"farahzai","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wrongdoers will find back doors, no matter what. Whether it is tax, or notes, Modi is leaving no stone unturned in harassing common people.",FALSE
"2016-11-09",0,FALSE,"796394783447154688",TRUE,NA,NA,NA,NA,NA,211,FALSE,"AmolAprasadi","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @avarakai: Sad for Burkha, moved to US after Modi, and got Trumped. Bad luck so bad, if she moves to Vatican, Praveen Togadia will becom…",FALSE
"2016-11-09",0,FALSE,"796394782134255616",TRUE,NA,NA,NA,NA,NA,3,FALSE,"manojdasglp","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","RT @spot_boyy: I was not happy when Modi had become our PM, but he and team is doing many things for betterment of country.

Hoping same fo…",FALSE
"2016-11-09",0,FALSE,"796394780968173568",FALSE,NA,NA,"796393980502032384","timesofindia","134758540",0,FALSE,"KumbarRajesh","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Only fools will believe it
For eg #Arnab a few months ago was fiercely attacking #Bjp &amp; #Modi Govt until paid

@timesofindia @HillaryClinton",FALSE
"2016-11-09",0,FALSE,"796394799351799809",TRUE,NA,NA,NA,NA,NA,29,FALSE,"itsmeAdii1221","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Archu243: What Surgery could not accomplish, Modi did it with #DeMonetisation Surgical strike! Sirji ki zubaan finally choti ho gayi<ed><U+00A0><U+00BD><ed><U+00B1><U+0085> h…",FALSE
